file_path,line_number,heading_h1,heading_h2,heading_h3,heading_h4,checkbox_text
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,617,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,generate_doc_index.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-002-generate-doc-index)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,618,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,generate_anchor_inventory.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-003-generate-anchor-inventory)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,619,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,validate_markdown_anchors.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-004-validate-markdown-anchors)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,620,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,verify_docs_integrity.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-005-verify-docs-integrity)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,621,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,validate_metrics_anchor_stubs.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-006-validate-metrics-anchor-stubs)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,622,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,generate_code_doc_churn_report.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-007-generate-code-doc-churn-report)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,623,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,generate_undocumented_logic_report.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-008-generate-undocumented-logic-report)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,624,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,aggregate_docs_health_signals.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-009-aggregate-docs-health-signals)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,625,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,run_docs_health_overview.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_docs_health_overview_roster.md#s21r-001-docs-health-overview-orchestrator)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,631,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,"Base package complete (`manifest.json`, `summary.md`, `telemetry.json`). See: [Stop-gates](tier2_roster/tier2_docs_health_overview_roster.md#32-stop-gates-and-implementation-checklists)"
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,632,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,No pointer artifacts (`latest_*` / `current_*`). See: [Stop-gates](tier2_roster/tier2_docs_health_overview_roster.md#32-stop-gates-and-implementation-checklists)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,633,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,Output root aligned to HOP contract (`.repo_studios/reports/healthview/<class>/<topic>/<timestamp>/`).
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,635,HealthView Orchestration Pipeline,5. Stage 2 – Documentation Quality,5.1 Stage 2.1: Docs Health Overview,,Tier-3 eligible (Stage 2.1 Tier-2 depth captured; ready for Tier-3 extraction). See:
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,769,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,collect_faulthandler_reports.py — pending until Tier-2 DONE is checked.
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,771,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,generate_fault_artifacts.py — pending until Tier-2 DONE is checked.
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,773,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,summarize_fault_diagnostics_overview.py — pending until Tier-2 DONE is checked.
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,775,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,run_fault_diagnostics_overview.py — pending until Tier-2 DONE is checked.
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,782,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,"Base package complete (`manifest.json`, `summary.md`, `telemetry.json`)."
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,784,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,No pointer artifacts (`latest_*` / `current_*`).
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,786,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,Output root aligned to HOP contract
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,789,HealthView Orchestration Pipeline,6. Stage 3 – Runtime Reliability,6.1 Stage 3.1: Fault Diagnostics Overview,,Tier-3 eligible (Stage 3.1 Tier-2 depth captured; ready for Tier-3 extraction).
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,899,HealthView Orchestration Pipeline,7. Stage 4 – Dependency Management,7.1 Stage 4.1: Dependency & Import Hygiene,,generate_dependency_hygiene_report.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_dependency_import_hygiene_roster.md#s41r-002-generate_dependency_hygiene_reportpy)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,900,HealthView Orchestration Pipeline,7. Stage 4 – Dependency Management,7.1 Stage 4.1: Dependency & Import Hygiene,,generate_import_graph_report.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_dependency_import_hygiene_roster.md#s41r-003-generate_import_graph_reportpy)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,901,HealthView Orchestration Pipeline,7. Stage 4 – Dependency Management,7.1 Stage 4.1: Dependency & Import Hygiene,,scan_code_placeholders.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_dependency_import_hygiene_roster.md#s41r-004-scan_code_placeholderspy)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,902,HealthView Orchestration Pipeline,7. Stage 4 – Dependency Management,7.1 Stage 4.1: Dependency & Import Hygiene,,generate_typecheck_report.py — pending until Tier-2 DONE is checked. See: [Tier-2 record](tier2_roster/tier2_dependency_import_hygiene_roster.md#s41r-005-generate_typecheck_reportpy)
.repo_studios/docs/pipeline/healthview_orchestration_pipeline/tier1_healthview_orchestration_pipeline.md,903,HealthView Orchestration Pipeline,7. Stage 4 – Dependency Management,7.1 Stage 4.1: Dependency & Import Hygiene,,refresh_mypy_baselines.py — pending until Tier-2 DONE is checked.
