file	line	category	import_base	intent	is_test	is_module_scope	code
.repo_studios\tools\validate_inventory.py	22	sys_modules_assignment		module injection/aliasing	false	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_aggregators\test_aggregate_docs_health_signals.py	18	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_aggregators\test_generate_churn_complexity_heatmap.py	20	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_anchor_health_report.py	21	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_anchor_health_report.py	192	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_consumers\test_generate_fault_artifacts.py	18	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_fault_artifacts.py	164	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_consumers\test_generate_test_log_health_report.py	18	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_test_log_health_report.py	268	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_orchestrators\test_command_center_pipeline.py	39	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[module_name] = module
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	26	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[module_name] = module
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	82	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "PROJECT_ROOT", repo_root)
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	83	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "RUFF_CONFIG", repo_root / ".repo_studios" / "ruff_clean.toml")
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	84	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "DEFAULT_OUTPUT_BASE", Path(".reports/run_batch_cleanup"))
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	106	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module.hygiene_topic_runner, "run", _fake_run)
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	142	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "_run_subprocess", executor)
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	143	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module.shutil, "which", lambda name: "npx" if name == "npx" else None)
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	185	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "_run_subprocess", executor)
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	186	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module.shutil, "which", lambda name: None)
.repo_studios\tests\tests_orchestrators\test_run_batch_cleanup.py	206	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "_run_subprocess", executor)
