file	line	category	import_base	intent	is_test	is_module_scope	code
.repo_studios\tools\validate_inventory.py	21	sys_modules_assignment		module injection/aliasing	false	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_aggregators\test_analyze_monkey_patch_trends.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_aggregators\test_generate_churn_complexity_heatmap.py	23	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_classify_monkey_patches.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_anchor_health_report.py	29	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_anchor_health_report.py	177	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_consumers\test_generate_fault_artifacts.py	28	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_fault_artifacts.py	177	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_consumers\test_generate_test_log_health_report.py	21	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[name] = module
.repo_studios\tests\tests_consumers\test_generate_test_log_health_report.py	245	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(consumer_mod, "datetime", _FakeDatetime)
.repo_studios\tests\tests_orchestrators\test_command_center_pipeline.py	38	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[module_name] = module
.repo_studios\tests\tests_producers\test_analyze_standards_index_gaps.py	24	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_analyze_test_hardening.py	26	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_audit_helper_adoption.py	21	sys_modules_assignment		module injection/aliasing	true	true	 sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_diff_standards_index.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_extract_standards_rules.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_function_inventory_integration.py	60	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[module_name] = module
.repo_studios\tests\tests_producers\test_generate_dependency_hygiene_report.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_function_analysis.py	50	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_function_inventory.py	28	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_import_graph_report.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_lizard_report.py	25	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_lizard_report.py	60	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(mod.subprocess, "run", fake_run)
.repo_studios\tests\tests_producers\test_generate_standards_index.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_test_coverage_inventory.py	24	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_typecheck_report.py	21	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_typecheck_report.py	54	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "_run_mypy", runner)
.repo_studios\tests\tests_producers\test_generate_typecheck_report.py	55	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "_get_mypy_version", lambda _repo_root: "mypy 1.11.0")
.repo_studios\tests\tests_producers\test_render_inventory_views.py	21	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_scan_code_placeholders.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
