category	metric	status	score	value
freshness	modules_with_code_churn	critical	50.00	4
freshness	modules_with_doc_updates	critical	50.00	2
freshness	modules_without_doc_updates	critical	50.00	2
freshness	allowlisted_modules	critical	50.00	[]
coverage	modules_scanned	critical	7.11	61
coverage	modules_with_findings	critical	7.11	54
coverage	entities_scanned	critical	7.11	633
coverage	entities_missing_docs	critical	7.11	588
coverage	docstring_coverage_percent	critical	7.11	7.11
structure	total_documents	critical	38.47	77
structure	documents_missing_h1	critical	38.47	11
structure	documents_missing_h2	critical	38.47	6
structure	documents_with_cross_file_duplicates	critical	38.47	51
structure	documents_with_repeated_anchors	critical	38.47	0
structure	cross_file_duplicates	critical	38.47	41
structure	total_slugs	critical	38.47	397
structure	anchor_validation_issue_count	critical	38.47	0
structure	anchor_validation_status	critical	38.47	ok
integrity	docs_integrity_status	healthy	100.00	ok
integrity	mismatched_blocks	healthy	100.00	0
integrity	json_blocks_checked	healthy	100.00	2
integrity	documents_processed	healthy	100.00	1
integrity	missing_metrics_stubs	healthy	100.00	0
integrity	anchors_referenced	healthy	100.00	0
hygiene	placeholder_total_matches	warning	60.00	0
hygiene	placeholder_status	warning	60.00	ok
hygiene	monkey_patch_total_findings	warning	60.00	56
hygiene	monkey_patch_status	warning	60.00	ok
