category,metric,status,score,value
freshness,modules_with_code_churn,critical,50.00,2
freshness,modules_with_doc_updates,critical,50.00,1
freshness,modules_without_doc_updates,critical,50.00,1
freshness,allowlisted_modules,critical,50.00,[]
coverage,modules_scanned,critical,8.18,83
coverage,modules_with_findings,critical,8.18,72
coverage,entities_scanned,critical,8.18,868
coverage,entities_missing_docs,critical,8.18,797
coverage,docstring_coverage_percent,critical,8.18,8.18
structure,total_documents,critical,37.86,101
structure,documents_missing_h1,critical,37.86,11
structure,documents_missing_h2,critical,37.86,6
structure,documents_with_cross_file_duplicates,critical,37.86,72
structure,documents_with_repeated_anchors,critical,37.86,0
structure,cross_file_duplicates,critical,37.86,49
structure,total_slugs,critical,37.86,513
structure,anchor_validation_issue_count,critical,37.86,0
structure,anchor_validation_status,critical,37.86,ok
integrity,docs_integrity_status,healthy,90.00,error
integrity,mismatched_blocks,healthy,90.00,0
integrity,json_blocks_checked,healthy,90.00,0
integrity,documents_processed,healthy,90.00,0
integrity,missing_metrics_stubs,healthy,90.00,0
integrity,anchors_referenced,healthy,90.00,0
hygiene,placeholder_total_matches,warning,60.00,0
hygiene,placeholder_status,warning,60.00,ok
hygiene,monkey_patch_total_findings,warning,60.00,104
hygiene,monkey_patch_status,warning,60.00,ok
