category	metric	status	score	value
freshness	modules_with_code_churn	warning	66.67	3
freshness	modules_with_doc_updates	warning	66.67	2
freshness	modules_without_doc_updates	warning	66.67	1
freshness	allowlisted_modules	warning	66.67	[]
coverage	modules_scanned	critical	56.30	84
coverage	modules_with_findings	critical	56.30	40
coverage	entities_scanned	critical	56.30	897
coverage	entities_missing_docs	critical	56.30	392
coverage	docstring_coverage_percent	critical	56.30	56.3
structure	total_documents	critical	36.54	144
structure	documents_missing_h1	critical	36.54	7
structure	documents_missing_h2	critical	36.54	3
structure	documents_with_cross_file_duplicates	critical	36.54	115
structure	documents_with_repeated_anchors	critical	36.54	0
structure	cross_file_duplicates	critical	36.54	81
structure	total_slugs	critical	36.54	794
structure	anchor_validation_issue_count	critical	36.54	0
structure	anchor_validation_status	critical	36.54	ok
integrity	docs_integrity_status	healthy	100.00	ok
integrity	mismatched_blocks	healthy	100.00	0
integrity	json_blocks_checked	healthy	100.00	2
integrity	documents_processed	healthy	100.00	1
integrity	missing_metrics_stubs	healthy	100.00	0
integrity	anchors_referenced	healthy	100.00	0
hygiene	placeholder_total_matches	warning	75.00	5
hygiene	placeholder_status	warning	75.00	ok
