slug	file_count	files	locations
testing	28	.repo_studios/docs/automation\analyze_test_hardening.md,.repo_studios/docs/automation\classify_monkey_patches.md,.repo_studios/docs/automation\collect_test_log_reports.md,.repo_studios/docs/automation\configure_faulthandler_runtime.md,.repo_studios/docs/automation\diff_standards_index.md,.repo_studios/docs/automation\dump_faulthandler_snapshot.md,.repo_studios/docs/automation\extract_standards_rules.md,.repo_studios/docs/automation\generate_anchor_health_report.md,.repo_studios/docs/automation\generate_code_doc_churn_report.md,.repo_studios/docs/automation\generate_dependency_hygiene_report.md,.repo_studios/docs/automation\generate_import_graph_report.md,.repo_studios/docs/automation\generate_standards_index.md,.repo_studios/docs/automation\generate_test_coverage_inventory.md,.repo_studios/docs/automation\generate_test_log_health_report.md,.repo_studios/docs/automation\generate_typecheck_report.md,.repo_studios/docs/automation\render_inventory_views.md,.repo_studios/docs/automation\run_fault_pipeline.md,.repo_studios/docs/automation\run_pytest_log_capture.md,.repo_studios/docs/automation\run_standards_index_cli.md,.repo_studios/docs/automation\scan_code_placeholders.md,.repo_studios/docs/automation\scan_monkey_patches.md,.repo_studios/docs/automation\seed_standards_prompts.md,.repo_studios/docs/automation\summarize_standards.md,.repo_studios/docs/automation\validate_import_boundaries.md,.repo_studios/docs/automation\validate_inventory.md,.repo_studios/docs/automation\validate_markdown_anchors.md,.repo_studios/docs/automation\validate_metrics_anchor_stubs.md,.repo_studios/docs/pipeline\tier3_index\IMPLEMENTATION_SUMMARY.md	.repo_studios/docs/automation\analyze_test_hardening.md:47;.repo_studios/docs/automation\classify_monkey_patches.md:73;.repo_studios/docs/automation\collect_test_log_reports.md:79;.repo_studios/docs/automation\configure_faulthandler_runtime.md:46;.repo_studios/docs/automation\diff_standards_index.md:98;.repo_studios/docs/automation\dump_faulthandler_snapshot.md:44;.repo_studios/docs/automation\extract_standards_rules.md:86;.repo_studios/docs/automation\generate_anchor_health_report.md:40;.repo_studios/docs/automation\generate_code_doc_churn_report.md:81;.repo_studios/docs/automation\generate_dependency_hygiene_report.md:81;.repo_studios/docs/automation\generate_import_graph_report.md:82;.repo_studios/docs/automation\generate_standards_index.md:68;.repo_studios/docs/automation\generate_test_coverage_inventory.md:112;.repo_studios/docs/automation\generate_test_log_health_report.md:94;.repo_studios/docs/automation\generate_typecheck_report.md:84;.repo_studios/docs/automation\render_inventory_views.md:58;.repo_studios/docs/automation\run_fault_pipeline.md:70;.repo_studios/docs/automation\run_pytest_log_capture.md:84;.repo_studios/docs/automation\run_standards_index_cli.md:29;.repo_studios/docs/automation\scan_code_placeholders.md:92;.repo_studios/docs/automation\scan_monkey_patches.md:90;.repo_studios/docs/automation\seed_standards_prompts.md:55;.repo_studios/docs/automation\summarize_standards.md:49;.repo_studios/docs/automation\validate_import_boundaries.md:55;.repo_studios/docs/automation\validate_inventory.md:46;.repo_studios/docs/automation\validate_markdown_anchors.md:70;.repo_studios/docs/automation\validate_metrics_anchor_stubs.md:78;.repo_studios/docs/pipeline\tier3_index\IMPLEMENTATION_SUMMARY.md:215
purpose	27	.repo_studios/docs/automation\aggregate_docs_health_signals.md,.repo_studios/docs/automation\analyze_test_hardening.md,.repo_studios/docs/automation\classify_monkey_patches.md,.repo_studios/docs/automation\collect_test_log_reports.md,.repo_studios/docs/automation\extract_standards_rules.md,.repo_studios/docs/automation\generate_anchor_health_report.md,.repo_studios/docs/automation\generate_anchor_inventory.md,.repo_studios/docs/automation\generate_code_doc_churn_report.md,.repo_studios/docs/automation\generate_dependency_hygiene_report.md,.repo_studios/docs/automation\generate_import_graph_report.md,.repo_studios/docs/automation\generate_standards_index.md,.repo_studios/docs/automation\generate_test_coverage_inventory.md,.repo_studios/docs/automation\generate_test_log_health_report.md,.repo_studios/docs/automation\healthview_onboarding.md,.repo_studios/docs/automation\refresh_mypy_baselines.md,.repo_studios/docs/automation\scan_code_placeholders.md,.repo_studios/docs/automation\scan_monkey_patches.md,.repo_studios/docs/automation\seed_standards_prompts.md,.repo_studios/docs/automation\summarize_standards.md,.repo_studios/docs/automation\traceability\aggregator_dependency_audit.md,.repo_studios/docs/automation\traceability\fault_pipeline_aggregator_plan.md,.repo_studios/docs/automation\validate_import_boundaries.md,.repo_studios/docs/automation\validate_markdown_anchors.md,.repo_studios/docs/automation\validate_metrics_anchor_stubs.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_11_1_implementation_plan.md,.repo_studios/docs/standards\global\std-global-prompt-engineering.md,docs/automation\orchestrator_legacy_cleanup_checklist.md	.repo_studios/docs/automation\aggregate_docs_health_signals.md:3;.repo_studios/docs/automation\analyze_test_hardening.md:5;.repo_studios/docs/automation\classify_monkey_patches.md:5;.repo_studios/docs/automation\collect_test_log_reports.md:24;.repo_studios/docs/automation\extract_standards_rules.md:5;.repo_studios/docs/automation\generate_anchor_health_report.md:3;.repo_studios/docs/automation\generate_anchor_inventory.md:5;.repo_studios/docs/automation\generate_code_doc_churn_report.md:23;.repo_studios/docs/automation\generate_dependency_hygiene_report.md:23;.repo_studios/docs/automation\generate_import_graph_report.md:24;.repo_studios/docs/automation\generate_standards_index.md:5;.repo_studios/docs/automation\generate_test_coverage_inventory.md:20;.repo_studios/docs/automation\generate_test_log_health_report.md:24;.repo_studios/docs/automation\healthview_onboarding.md:5;.repo_studios/docs/automation\refresh_mypy_baselines.md:3;.repo_studios/docs/automation\scan_code_placeholders.md:25;.repo_studios/docs/automation\scan_monkey_patches.md:26;.repo_studios/docs/automation\seed_standards_prompts.md:5;.repo_studios/docs/automation\summarize_standards.md:5;.repo_studios/docs/automation\traceability\aggregator_dependency_audit.md:3;.repo_studios/docs/automation\traceability\fault_pipeline_aggregator_plan.md:9;.repo_studios/docs/automation\validate_import_boundaries.md:5;.repo_studios/docs/automation\validate_markdown_anchors.md:19;.repo_studios/docs/automation\validate_metrics_anchor_stubs.md:19;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_11_1_implementation_plan.md:10;.repo_studios/docs/standards\global\std-global-prompt-engineering.md:29;docs/automation\orchestrator_legacy_cleanup_checklist.md:5
invocation	23	.repo_studios/docs/automation\analyze_test_hardening.md,.repo_studios/docs/automation\classify_monkey_patches.md,.repo_studios/docs/automation\collect_test_log_reports.md,.repo_studios/docs/automation\extract_standards_rules.md,.repo_studios/docs/automation\generate_dependency_hygiene_report.md,.repo_studios/docs/automation\generate_import_graph_report.md,.repo_studios/docs/automation\generate_lizard_report.md,.repo_studios/docs/automation\generate_standards_index.md,.repo_studios/docs/automation\generate_test_coverage_inventory.md,.repo_studios/docs/automation\generate_typecheck_report.md,.repo_studios/docs/automation\refresh_mypy_baselines.md,.repo_studios/docs/automation\render_inventory_views.md,.repo_studios/docs/automation\run_fault_pipeline.md,.repo_studios/docs/automation\run_pytest_log_capture.md,.repo_studios/docs/automation\scan_code_placeholders.md,.repo_studios/docs/automation\scan_monkey_patches.md,.repo_studios/docs/automation\seed_standards_prompts.md,.repo_studios/docs/automation\summarize_standards.md,.repo_studios/docs/automation\validate_import_boundaries.md,.repo_studios/docs/automation\validate_inventory.md,.repo_studios/docs/automation\validate_markdown_anchors.md,.repo_studios/docs/automation\validate_metrics_anchor_stubs.md,.repo_studios/docs/automation\verify_docs_integrity.md	.repo_studios/docs/automation\analyze_test_hardening.md:9;.repo_studios/docs/automation\classify_monkey_patches.md:28;.repo_studios/docs/automation\collect_test_log_reports.md:28;.repo_studios/docs/automation\extract_standards_rules.md:50;.repo_studios/docs/automation\generate_dependency_hygiene_report.md:30;.repo_studios/docs/automation\generate_import_graph_report.md:37;.repo_studios/docs/automation\generate_lizard_report.md:46;.repo_studios/docs/automation\generate_standards_index.md:9;.repo_studios/docs/automation\generate_test_coverage_inventory.md:30;.repo_studios/docs/automation\generate_typecheck_report.md:35;.repo_studios/docs/automation\refresh_mypy_baselines.md:9;.repo_studios/docs/automation\render_inventory_views.md:22;.repo_studios/docs/automation\run_fault_pipeline.md:15;.repo_studios/docs/automation\run_pytest_log_capture.md:23;.repo_studios/docs/automation\scan_code_placeholders.md:29;.repo_studios/docs/automation\scan_monkey_patches.md:32;.repo_studios/docs/automation\seed_standards_prompts.md:9;.repo_studios/docs/automation\summarize_standards.md:14;.repo_studios/docs/automation\validate_import_boundaries.md:9;.repo_studios/docs/automation\validate_inventory.md:5;.repo_studios/docs/automation\validate_markdown_anchors.md:26;.repo_studios/docs/automation\validate_metrics_anchor_stubs.md:28;.repo_studios/docs/automation\verify_docs_integrity.md:21
outputs	23	.repo_studios/docs/automation\analyze_test_hardening.md,.repo_studios/docs/automation\classify_monkey_patches.md,.repo_studios/docs/automation\collect_test_log_reports.md,.repo_studios/docs/automation\diff_standards_index.md,.repo_studios/docs/automation\generate_code_doc_churn_report.md,.repo_studios/docs/automation\generate_dependency_hygiene_report.md,.repo_studios/docs/automation\generate_import_graph_report.md,.repo_studios/docs/automation\generate_standards_index.md,.repo_studios/docs/automation\generate_test_coverage_inventory.md,.repo_studios/docs/automation\generate_test_log_health_report.md,.repo_studios/docs/automation\refresh_mypy_baselines.md,.repo_studios/docs/automation\render_inventory_views.md,.repo_studios/docs/automation\run_fault_pipeline.md,.repo_studios/docs/automation\run_pytest_log_capture.md,.repo_studios/docs/automation\scan_code_placeholders.md,.repo_studios/docs/automation\scan_monkey_patches.md,.repo_studios/docs/automation\seed_standards_prompts.md,.repo_studios/docs/automation\summarize_standards.md,.repo_studios/docs/automation\validate_import_boundaries.md,.repo_studios/docs/automation\validate_inventory.md,.repo_studios/docs/automation\validate_markdown_anchors.md,.repo_studios/docs/automation\validate_metrics_anchor_stubs.md,.repo_studios/docs/playbooks\playbook-memory-refresh.md	.repo_studios/docs/automation\analyze_test_hardening.md:30;.repo_studios/docs/automation\classify_monkey_patches.md:55;.repo_studios/docs/automation\collect_test_log_reports.md:53;.repo_studios/docs/automation\diff_standards_index.md:83;.repo_studios/docs/automation\generate_code_doc_churn_report.md:46;.repo_studios/docs/automation\generate_dependency_hygiene_report.md:53;.repo_studios/docs/automation\generate_import_graph_report.md:60;.repo_studios/docs/automation\generate_standards_index.md:41;.repo_studios/docs/automation\generate_test_coverage_inventory.md:88;.repo_studios/docs/automation\generate_test_log_health_report.md:52;.repo_studios/docs/automation\refresh_mypy_baselines.md:27;.repo_studios/docs/automation\render_inventory_views.md:38;.repo_studios/docs/automation\run_fault_pipeline.md:56;.repo_studios/docs/automation\run_pytest_log_capture.md:55;.repo_studios/docs/automation\scan_code_placeholders.md:58;.repo_studios/docs/automation\scan_monkey_patches.md:63;.repo_studios/docs/automation\seed_standards_prompts.md:32;.repo_studios/docs/automation\summarize_standards.md:28;.repo_studios/docs/automation\validate_import_boundaries.md:30;.repo_studios/docs/automation\validate_inventory.md:22;.repo_studios/docs/automation\validate_markdown_anchors.md:46;.repo_studios/docs/automation\validate_metrics_anchor_stubs.md:53;.repo_studios/docs/playbooks\playbook-memory-refresh.md:64
update-log	23	.repo_studios/docs/automation\check_inventory_health.md,.repo_studios/docs/automation\collect_faulthandler_reports.md,.repo_studios/docs/automation\diff_standards_index.md,.repo_studios/docs/automation\generate_doc_index.md,.repo_studios/docs/automation\generate_import_graph_report.md,.repo_studios/docs/automation\generate_lizard_report.md,.repo_studios/docs/automation\generate_typecheck_report.md,.repo_studios/docs/automation\generate_undocumented_logic_report.md,.repo_studios/docs/automation\scan_monkey_patches.md,.repo_studios/docs/automation\validate_markdown_anchors.md,.repo_studios/docs/pipeline\README.md,.repo_studios/docs/pipeline\checkbox_report\outputs\checkbox_report.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\docstring_compliance_plan.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_11_1_implementation_plan.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_3_1_implementation_plan.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\README.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_onboarding_tools_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md,.repo_studios/docs/pipeline\pipeline_doc_map.md,docs/automation\reviews\standards_integrity_output_review-2026-01-21.md,docs/db_integrations\README.md,docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md,docs/templates\meta_prompt_markdown_lint_hygiene.md	.repo_studios/docs/automation\check_inventory_health.md:101;.repo_studios/docs/automation\collect_faulthandler_reports.md:115;.repo_studios/docs/automation\diff_standards_index.md:102;.repo_studios/docs/automation\generate_doc_index.md:86;.repo_studios/docs/automation\generate_import_graph_report.md:87;.repo_studios/docs/automation\generate_lizard_report.md:81;.repo_studios/docs/automation\generate_typecheck_report.md:90;.repo_studios/docs/automation\generate_undocumented_logic_report.md:88;.repo_studios/docs/automation\scan_monkey_patches.md:104;.repo_studios/docs/automation\validate_markdown_anchors.md:87;.repo_studios/docs/pipeline\README.md:142;.repo_studios/docs/pipeline\checkbox_report\outputs\checkbox_report.md:133;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\docstring_compliance_plan.md:392;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_11_1_implementation_plan.md:173;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_3_1_implementation_plan.md:418;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\README.md:46;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_onboarding_tools_roster.md:220;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md:492;.repo_studios/docs/pipeline\pipeline_doc_map.md:158;docs/automation\reviews\standards_integrity_output_review-2026-01-21.md:534;docs/db_integrations\README.md:44;docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md:361;docs/templates\meta_prompt_markdown_lint_hygiene.md:174
goals	17	.repo_studios/docs/automation\check_inventory_health.md,.repo_studios/docs/automation\ci_metrics_checks.md,.repo_studios/docs/automation\collect_faulthandler_reports.md,.repo_studios/docs/automation\diff_standards_index.md,.repo_studios/docs/automation\generate_doc_index.md,.repo_studios/docs/automation\generate_lizard_report.md,.repo_studios/docs/automation\generate_typecheck_report.md,.repo_studios/docs/automation\generate_undocumented_logic_report.md,.repo_studios/docs/automation\standards-extraction-spec.md,.repo_studios/docs/pipeline\README.md,.repo_studios/docs/pipeline\checkbox_report\outputs\checkbox_report.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\README.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md,.repo_studios/docs/pipeline\pipeline_doc_map.md,docs/automation\reviews\standards_integrity_output_review-2026-01-21.md,docs/db_integrations\README.md,docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md	.repo_studios/docs/automation\check_inventory_health.md:21;.repo_studios/docs/automation\ci_metrics_checks.md:7;.repo_studios/docs/automation\collect_faulthandler_reports.md:23;.repo_studios/docs/automation\diff_standards_index.md:29;.repo_studios/docs/automation\generate_doc_index.md:20;.repo_studios/docs/automation\generate_lizard_report.md:23;.repo_studios/docs/automation\generate_typecheck_report.md:20;.repo_studios/docs/automation\generate_undocumented_logic_report.md:24;.repo_studios/docs/automation\standards-extraction-spec.md:27;.repo_studios/docs/pipeline\README.md:33;.repo_studios/docs/pipeline\checkbox_report\outputs\checkbox_report.md:23;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\README.md:31;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md:43;.repo_studios/docs/pipeline\pipeline_doc_map.md:31;docs/automation\reviews\standards_integrity_output_review-2026-01-21.md:23;docs/db_integrations\README.md:16;docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md:36
operational-notes	16	.repo_studios/docs/automation\analyze_test_hardening.md,.repo_studios/docs/automation\classify_monkey_patches.md,.repo_studios/docs/automation\collect_test_log_reports.md,.repo_studios/docs/automation\generate_dependency_hygiene_report.md,.repo_studios/docs/automation\generate_standards_index.md,.repo_studios/docs/automation\generate_test_coverage_inventory.md,.repo_studios/docs/automation\healthview_onboarding.md,.repo_studios/docs/automation\run_pytest_log_capture.md,.repo_studios/docs/automation\run_standards_index_cli.md,.repo_studios/docs/automation\scan_code_placeholders.md,.repo_studios/docs/automation\scan_monkey_patches.md,.repo_studios/docs/automation\seed_standards_prompts.md,.repo_studios/docs/automation\validate_import_boundaries.md,.repo_studios/docs/automation\validate_markdown_anchors.md,.repo_studios/docs/automation\validate_metrics_anchor_stubs.md,.repo_studios/docs/directory_layout.md	.repo_studios/docs/automation\analyze_test_hardening.md:53;.repo_studios/docs/automation\classify_monkey_patches.md:77;.repo_studios/docs/automation\collect_test_log_reports.md:85;.repo_studios/docs/automation\generate_dependency_hygiene_report.md:86;.repo_studios/docs/automation\generate_standards_index.md:73;.repo_studios/docs/automation\generate_test_coverage_inventory.md:118;.repo_studios/docs/automation\healthview_onboarding.md:105;.repo_studios/docs/automation\run_pytest_log_capture.md:94;.repo_studios/docs/automation\run_standards_index_cli.md:40;.repo_studios/docs/automation\scan_code_placeholders.md:98;.repo_studios/docs/automation\scan_monkey_patches.md:96;.repo_studios/docs/automation\seed_standards_prompts.md:61;.repo_studios/docs/automation\validate_import_boundaries.md:61;.repo_studios/docs/automation\validate_markdown_anchors.md:78;.repo_studios/docs/automation\validate_metrics_anchor_stubs.md:85;.repo_studios/docs/directory_layout.md:25
0-instruction-block-for-editors-ai-assistants	15	.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier1_healthview_orchestration_pipeline.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_available_scripts_orchestrator_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_available_scripts_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_dependency_import_hygiene_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_docs_health_overview_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_fault_diagnostics_overview_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_full_suite_overview_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_healthview_roster_template.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_monkey_patch_oversight_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_onboarding_tools_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_standards_integrity_roster.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_test_execution_telemetry_roster.md,.repo_studios/docs/pipeline\pipeline_templates\tier1_pipeline_template.md,.repo_studios/docs/pipeline\pipeline_templates\tier2_pipeline_template.md,.repo_studios/docs/pipeline\pipeline_templates\tier3_pipeline_template.md	.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier1_healthview_orchestration_pipeline.md:35;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_available_scripts_orchestrator_roster.md:55;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_available_scripts_roster.md:51;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_dependency_import_hygiene_roster.md:48;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_docs_health_overview_roster.md:48;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_fault_diagnostics_overview_roster.md:49;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_full_suite_overview_roster.md:49;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_healthview_roster_template.md:45;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_monkey_patch_oversight_roster.md:46;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_onboarding_tools_roster.md:51;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_standards_integrity_roster.md:46;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\tier2_test_execution_telemetry_roster.md:51;.repo_studios/docs/pipeline\pipeline_templates\tier1_pipeline_template.md:9;.repo_studios/docs/pipeline\pipeline_templates\tier2_pipeline_template.md:32;.repo_studios/docs/pipeline\pipeline_templates\tier3_pipeline_template.md:36
system-context	15	.repo_studios/docs/automation\check_inventory_health.md,.repo_studios/docs/automation\collect_faulthandler_reports.md,.repo_studios/docs/automation\diff_standards_index.md,.repo_studios/docs/automation\generate_doc_index.md,.repo_studios/docs/automation\generate_lizard_report.md,.repo_studios/docs/automation\generate_typecheck_report.md,.repo_studios/docs/automation\generate_undocumented_logic_report.md,.repo_studios/docs/pipeline\README.md,.repo_studios/docs/pipeline\checkbox_report\outputs\checkbox_report.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\README.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md,.repo_studios/docs/pipeline\pipeline_doc_map.md,docs/automation\reviews\standards_integrity_output_review-2026-01-21.md,docs/db_integrations\README.md,docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md	.repo_studios/docs/automation\check_inventory_health.md:27;.repo_studios/docs/automation\collect_faulthandler_reports.md:29;.repo_studios/docs/automation\diff_standards_index.md:34;.repo_studios/docs/automation\generate_doc_index.md:25;.repo_studios/docs/automation\generate_lizard_report.md:29;.repo_studios/docs/automation\generate_typecheck_report.md:26;.repo_studios/docs/automation\generate_undocumented_logic_report.md:30;.repo_studios/docs/pipeline\README.md:42;.repo_studios/docs/pipeline\checkbox_report\outputs\checkbox_report.md:29;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\tier2_roster\README.md:36;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md:51;.repo_studios/docs/pipeline\pipeline_doc_map.md:37;docs/automation\reviews\standards_integrity_output_review-2026-01-21.md:29;docs/db_integrations\README.md:21;docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md:76
agent-instructions	13	.repo_studios/docs/automation\check_inventory_health.md,.repo_studios/docs/automation\collect_faulthandler_reports.md,.repo_studios/docs/automation\diff_standards_index.md,.repo_studios/docs/automation\generate_doc_index.md,.repo_studios/docs/automation\generate_lizard_report.md,.repo_studios/docs/automation\generate_typecheck_report.md,.repo_studios/docs/automation\generate_undocumented_logic_report.md,.repo_studios/docs/pipeline\README.md,.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md,.repo_studios/docs/pipeline\pipeline_doc_map.md,docs/automation\reviews\standards_integrity_output_review-2026-01-21.md,docs/db_integrations\README.md,docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md	.repo_studios/docs/automation\check_inventory_health.md:55;.repo_studios/docs/automation\collect_faulthandler_reports.md:48;.repo_studios/docs/automation\diff_standards_index.md:44;.repo_studios/docs/automation\generate_doc_index.md:31;.repo_studios/docs/automation\generate_lizard_report.md:40;.repo_studios/docs/automation\generate_typecheck_report.md:78;.repo_studios/docs/automation\generate_undocumented_logic_report.md:35;.repo_studios/docs/pipeline\README.md:88;.repo_studios/docs/pipeline\healthview_orchestration_pipeline\workflows\healthview_agent_loop_implementation_plan.md:83;.repo_studios/docs/pipeline\pipeline_doc_map.md:115;docs/automation\reviews\standards_integrity_output_review-2026-01-21.md:47;docs/db_integrations\README.md:38;docs/pipeline\healthview_orchestration_pipeline\implementation_plans\stage_2_1_docs_health_expectations_temp.md:327
