slug	count	file_count	files
agent-block-machine-readable	10	10	playbooks\playbook-agent-operations.md,playbooks\playbook-memory-refresh.md,playbooks\playbook-migration.md,playbooks\playbook-prompt-library.md,standards\global\std-global-html-coding.md,standards\global\std-global-markdown-authoring.md,standards\global\std-global-monkey-patching.md,standards\global\std-global-prompt-engineering.md,standards\global\std-global-python-engineering.md,standards\project\std-project-operating-standard.md
anchor-health-reminder	4	4	standards\global\std-global-monkey-patching.md,standards\global\std-global-prompt-engineering.md,standards\global\std-global-python-engineering.md,standards\project\std-project-operating-standard.md
anchor-health-cross-link	3	3	standards\global\std-global-chainlit-ui.md,standards\global\std-global-code-cleanup.md,standards\global\std-global-html-coding.md
anti-patterns-to-avoid	3	3	standards\global\std-global-html-coding.md,standards\global\std-global-markdown-authoring.md,standards\global\std-global-python-engineering.md
quick-checklists	3	3	standards\global\std-global-html-coding.md,standards\global\std-global-monkey-patching.md,standards\global\std-global-prompt-engineering.md
references	3	3	standards\global\std-global-html-coding.md,standards\global\std-global-monkey-patching.md,standards\global\std-global-prompt-engineering.md
anti-patterns	2	2	standards\global\std-global-monkey-patching.md,standards\global\std-global-prompt-engineering.md
authoring-guidelines	2	2	standards\global\README.md,standards\project\README.md
change-history	2	2	standards\global\std-global-html-coding.md,standards\global\std-global-prompt-engineering.md
goals	2	2	automation\ci_metrics_checks.md,automation\standards-extraction-spec.md
migration-notes	2	2	standards\global\README.md,standards\project\README.md
phase-1-foundation-inventory	2	2	repo_studios_build_plan.md,templates\structural_checklist_template.md
phase-2-migration-normalization	2	2	repo_studios_build_plan.md,templates\structural_checklist_template.md
phase-3-automation-quality-gates	2	2	repo_studios_build_plan.md,templates\structural_checklist_template.md
self-improvement-protocol	2	2	standards\global\std-global-code-cleanup.md,standards\global\std-global-html-coding.md
success-criteria	2	2	playbooks\playbook-memory-refresh.md,standards\global\std-global-mission-parameters.md
1-record-structure	1	1	inventory_schema_spec.md
2-enumerations	1	1	inventory_schema_spec.md
2025-10-01t1740z-batch-1-docs-1-25	1	1	governance\alignment-ledger.md
2025-10-01t1805z-batch-2-docs-entries-1-25	1	1	governance\alignment-ledger.md
2025-10-01t1820z-batch-3-docs-entries-26-50	1	1	governance\alignment-ledger.md
2025-10-01t1905z-batch-4-docs-entries-51-75	1	1	governance\alignment-ledger.md
2025-10-01t2010z-batch-5-docs-entries-76-100	1	1	governance\alignment-ledger.md
2025-10-01t2105z-batch-6-docs-entries-101-125	1	1	governance\alignment-ledger.md
2025-10-01t2215z-batch-7-docs-entries-126-150	1	1	governance\alignment-ledger.md
2025-10-01t2255z-voice-diagnostics-follow-up-focused-revisions	1	1	governance\alignment-ledger.md
2025-10-02t0625z-docs-phase-automation-meta	1	1	governance\alignment-ledger.md
2025-10-02t1645z-batch-8-docs-entries-151-175	1	1	governance\alignment-ledger.md
2025-10-02t1725z-batch-9-jarvis2-root-docs	1	1	governance\alignment-ledger.md
2025-10-02t1855z-consolidated-action-plan	1	1	governance\alignment-ledger.md
3-dependency-block	1	1	inventory_schema_spec.md
4-notes-block	1	1	inventory_schema_spec.md
5-example-entry	1	1	inventory_schema_spec.md
6-validation-requirements	1	1	inventory_schema_spec.md
7-future-extensions	1	1	inventory_schema_spec.md
accessibility-a11y	1	1	standards\global\std-global-html-coding.md
action-items	1	1	inventory\inventory-notes.md
actions	1	1	templates\agent_note_template.md
add-to-dev-requirements	1	1	standards\project\std-project-python-instructions.md
agent-note-template	1	1	templates\agent_note_template.md
ai-agent-compatibility	1	1	standards\global\std-global-html-coding.md
ai-ingestibility-requirements	1	1	standards\global\std-global-markdown-authoring.md
alignment-with-repo-studios-orchestration	1	1	standards\global\std-global-chainlit-ui.md
anchor-resolution	1	1	automation\standards-extraction-spec.md
applies-to-guessing	1	1	automation\standards-extraction-spec.md
approved-use-cases	1	1	standards\global\std-global-monkey-patching.md
async-and-api-guidance	1	1	standards\global\std-global-python-engineering.md
async-patterns-and-cancellation	1	1	standards\global\std-global-chainlit-ui.md
authoring-requirements	1	1	standards\global\std-global-monkey-patching.md
backward-compatibility	1	1	automation\standards-index-schema.md
behavioral-standards	1	1	standards\project\std-project-operating-standard.md
best-practices	1	1	standards\global\std-global-markdown-authoring.md
candidate-detection	1	1	automation\standards-extraction-spec.md
canonical-section-order	1	1	standards\global\std-global-markdown-authoring.md
ci-consumption-patterns	1	1	inventory_reports.md
ci-metrics-checks-for-inventory-reports	1	1	automation\ci_metrics_checks.md
ci-ratcheting-runtime-guards	1	1	standards\global\std-global-monkey-patching.md
collaboration-protocol	1	1	playbooks\playbook-agent-operations.md
common-layout-patterns	1	1	standards\global\std-global-html-coding.md
completion-criteria	1	1	standards\global\std-global-code-cleanup.md
complexity-guardrails	1	1	standards\global\std-global-python-engineering.md
concerns	1	1	inventory\inventory-notes.md
configuration-and-secrets	1	1	standards\global\std-global-python-engineering.md
configuration-notes	1	1	inventory_validation.md
constraints-and-non-goals	1	1	standards\global\std-global-mission-parameters.md
context	1	1	templates\agent_note_template.md
continuous-improvement	1	1	standards\global\std-global-python-engineering.md
core-principles	1	1	standards\global\std-global-prompt-engineering.md
core-responsibilities	1	1	playbooks\playbook-agent-operations.md
