slug	count	file_count	files	locations
purpose	30	30	.repo_studios/docs/automation/aggregate_docs_health_signals.md,.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/classify_monkey_patches.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/extract_standards_rules.md,.repo_studios/docs/automation/generate_anchor_health_report.md,.repo_studios/docs/automation/generate_anchor_inventory.md,.repo_studios/docs/automation/generate_code_doc_churn_report.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_doc_index.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/generate_test_log_health_report.md,.repo_studios/docs/automation/generate_undocumented_logic_report.md,.repo_studios/docs/automation/healthview_onboarding.md,.repo_studios/docs/automation/refresh_mypy_baselines.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/summarize_standards.md,.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md,.repo_studios/docs/automation/traceability/fault_pipeline_aggregator_plan.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md,automation/orchestrator_legacy_cleanup_checklist.md	.repo_studios/docs/automation/aggregate_docs_health_signals.md:3;.repo_studios/docs/automation/analyze_test_hardening.md:5;.repo_studios/docs/automation/classify_monkey_patches.md:5;.repo_studios/docs/automation/collect_faulthandler_reports.md:5;.repo_studios/docs/automation/collect_test_log_reports.md:5;.repo_studios/docs/automation/diff_standards_index.md:5;.repo_studios/docs/automation/extract_standards_rules.md:5;.repo_studios/docs/automation/generate_anchor_health_report.md:3;.repo_studios/docs/automation/generate_anchor_inventory.md:5;.repo_studios/docs/automation/generate_code_doc_churn_report.md:3;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:5;.repo_studios/docs/automation/generate_doc_index.md:5;.repo_studios/docs/automation/generate_lizard_report.md:5;.repo_studios/docs/automation/generate_standards_index.md:5;.repo_studios/docs/automation/generate_test_coverage_inventory.md:5;.repo_studios/docs/automation/generate_test_log_health_report.md:3;.repo_studios/docs/automation/generate_undocumented_logic_report.md:3;.repo_studios/docs/automation/healthview_onboarding.md:5;.repo_studios/docs/automation/refresh_mypy_baselines.md:3;.repo_studios/docs/automation/scan_code_placeholders.md:5;.repo_studios/docs/automation/scan_monkey_patches.md:5;.repo_studios/docs/automation/seed_standards_prompts.md:5;.repo_studios/docs/automation/summarize_standards.md:5;.repo_studios/docs/automation/traceability/aggregator_dependency_audit.md:3;.repo_studios/docs/automation/traceability/fault_pipeline_aggregator_plan.md:9;.repo_studios/docs/automation/validate_import_boundaries.md:5;.repo_studios/docs/automation/validate_markdown_anchors.md:5;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:5;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:29;automation/orchestrator_legacy_cleanup_checklist.md:5
testing	29	29	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/classify_monkey_patches.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/configure_faulthandler_runtime.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/dump_faulthandler_snapshot.md,.repo_studios/docs/automation/extract_standards_rules.md,.repo_studios/docs/automation/generate_anchor_health_report.md,.repo_studios/docs/automation/generate_code_doc_churn_report.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/generate_test_log_health_report.md,.repo_studios/docs/automation/generate_typecheck_report.md,.repo_studios/docs/automation/generate_undocumented_logic_report.md,.repo_studios/docs/automation/render_inventory_views.md,.repo_studios/docs/automation/run_fault_pipeline.md,.repo_studios/docs/automation/run_pytest_log_capture.md,.repo_studios/docs/automation/run_standards_index_cli.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/summarize_standards.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md	.repo_studios/docs/automation/analyze_test_hardening.md:53;.repo_studios/docs/automation/classify_monkey_patches.md:73;.repo_studios/docs/automation/collect_faulthandler_reports.md:73;.repo_studios/docs/automation/collect_test_log_reports.md:56;.repo_studios/docs/automation/configure_faulthandler_runtime.md:46;.repo_studios/docs/automation/diff_standards_index.md:58;.repo_studios/docs/automation/dump_faulthandler_snapshot.md:44;.repo_studios/docs/automation/extract_standards_rules.md:86;.repo_studios/docs/automation/generate_anchor_health_report.md:41;.repo_studios/docs/automation/generate_code_doc_churn_report.md:64;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:64;.repo_studios/docs/automation/generate_lizard_report.md:70;.repo_studios/docs/automation/generate_standards_index.md:72;.repo_studios/docs/automation/generate_test_coverage_inventory.md:59;.repo_studios/docs/automation/generate_test_log_health_report.md:73;.repo_studios/docs/automation/generate_typecheck_report.md:47;.repo_studios/docs/automation/generate_undocumented_logic_report.md:58;.repo_studios/docs/automation/render_inventory_views.md:45;.repo_studios/docs/automation/run_fault_pipeline.md:70;.repo_studios/docs/automation/run_pytest_log_capture.md:87;.repo_studios/docs/automation/run_standards_index_cli.md:100;.repo_studios/docs/automation/scan_code_placeholders.md:77;.repo_studios/docs/automation/scan_monkey_patches.md:77;.repo_studios/docs/automation/seed_standards_prompts.md:59;.repo_studios/docs/automation/summarize_standards.md:40;.repo_studios/docs/automation/validate_import_boundaries.md:55;.repo_studios/docs/automation/validate_inventory.md:46;.repo_studios/docs/automation/validate_markdown_anchors.md:55;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:64
outputs	27	27	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/classify_monkey_patches.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/generate_code_doc_churn_report.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/generate_test_log_health_report.md,.repo_studios/docs/automation/generate_typecheck_report.md,.repo_studios/docs/automation/generate_undocumented_logic_report.md,.repo_studios/docs/automation/refresh_mypy_baselines.md,.repo_studios/docs/automation/render_inventory_views.md,.repo_studios/docs/automation/run_fault_pipeline.md,.repo_studios/docs/automation/run_pytest_log_capture.md,.repo_studios/docs/automation/run_standards_index_cli.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/summarize_standards.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/playbooks/playbook-memory-refresh.md	.repo_studios/docs/automation/analyze_test_hardening.md:30;.repo_studios/docs/automation/classify_monkey_patches.md:55;.repo_studios/docs/automation/collect_faulthandler_reports.md:44;.repo_studios/docs/automation/collect_test_log_reports.md:29;.repo_studios/docs/automation/diff_standards_index.md:38;.repo_studios/docs/automation/generate_code_doc_churn_report.md:26;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:32;.repo_studios/docs/automation/generate_lizard_report.md:37;.repo_studios/docs/automation/generate_standards_index.md:40;.repo_studios/docs/automation/generate_test_coverage_inventory.md:37;.repo_studios/docs/automation/generate_test_log_health_report.md:30;.repo_studios/docs/automation/generate_typecheck_report.md:26;.repo_studios/docs/automation/generate_undocumented_logic_report.md:27;.repo_studios/docs/automation/refresh_mypy_baselines.md:28;.repo_studios/docs/automation/render_inventory_views.md:21;.repo_studios/docs/automation/run_fault_pipeline.md:56;.repo_studios/docs/automation/run_pytest_log_capture.md:50;.repo_studios/docs/automation/run_standards_index_cli.md:75;.repo_studios/docs/automation/scan_code_placeholders.md:37;.repo_studios/docs/automation/scan_monkey_patches.md:39;.repo_studios/docs/automation/seed_standards_prompts.md:32;.repo_studios/docs/automation/summarize_standards.md:28;.repo_studios/docs/automation/validate_import_boundaries.md:30;.repo_studios/docs/automation/validate_inventory.md:22;.repo_studios/docs/automation/validate_markdown_anchors.md:33;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:36;.repo_studios/docs/playbooks/playbook-memory-refresh.md:64
invocation	25	25	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/classify_monkey_patches.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/extract_standards_rules.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/generate_typecheck_report.md,.repo_studios/docs/automation/refresh_mypy_baselines.md,.repo_studios/docs/automation/render_inventory_views.md,.repo_studios/docs/automation/run_fault_pipeline.md,.repo_studios/docs/automation/run_pytest_log_capture.md,.repo_studios/docs/automation/run_standards_index_cli.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/summarize_standards.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/automation/verify_docs_integrity.md	.repo_studios/docs/automation/analyze_test_hardening.md:9;.repo_studios/docs/automation/classify_monkey_patches.md:28;.repo_studios/docs/automation/collect_faulthandler_reports.md:19;.repo_studios/docs/automation/collect_test_log_reports.md:9;.repo_studios/docs/automation/diff_standards_index.md:9;.repo_studios/docs/automation/extract_standards_rules.md:50;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:9;.repo_studios/docs/automation/generate_lizard_report.md:9;.repo_studios/docs/automation/generate_standards_index.md:9;.repo_studios/docs/automation/generate_test_coverage_inventory.md:9;.repo_studios/docs/automation/generate_typecheck_report.md:5;.repo_studios/docs/automation/refresh_mypy_baselines.md:10;.repo_studios/docs/automation/render_inventory_views.md:5;.repo_studios/docs/automation/run_fault_pipeline.md:15;.repo_studios/docs/automation/run_pytest_log_capture.md:14;.repo_studios/docs/automation/run_standards_index_cli.md:11;.repo_studios/docs/automation/scan_code_placeholders.md:9;.repo_studios/docs/automation/scan_monkey_patches.md:9;.repo_studios/docs/automation/seed_standards_prompts.md:9;.repo_studios/docs/automation/summarize_standards.md:13;.repo_studios/docs/automation/validate_import_boundaries.md:9;.repo_studios/docs/automation/validate_inventory.md:5;.repo_studios/docs/automation/validate_markdown_anchors.md:12;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:12;.repo_studios/docs/automation/verify_docs_integrity.md:7
operational-notes	19	19	.repo_studios/docs/automation/analyze_test_hardening.md,.repo_studios/docs/automation/classify_monkey_patches.md,.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/healthview_onboarding.md,.repo_studios/docs/automation/run_pytest_log_capture.md,.repo_studios/docs/automation/run_standards_index_cli.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_markdown_anchors.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md,.repo_studios/docs/directory_layout.md	.repo_studios/docs/automation/analyze_test_hardening.md:59;.repo_studios/docs/automation/classify_monkey_patches.md:77;.repo_studios/docs/automation/collect_faulthandler_reports.md:80;.repo_studios/docs/automation/collect_test_log_reports.md:62;.repo_studios/docs/automation/diff_standards_index.md:62;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:69;.repo_studios/docs/automation/generate_lizard_report.md:75;.repo_studios/docs/automation/generate_standards_index.md:77;.repo_studios/docs/automation/generate_test_coverage_inventory.md:64;.repo_studios/docs/automation/healthview_onboarding.md:105;.repo_studios/docs/automation/run_pytest_log_capture.md:97;.repo_studios/docs/automation/run_standards_index_cli.md:114;.repo_studios/docs/automation/scan_code_placeholders.md:83;.repo_studios/docs/automation/scan_monkey_patches.md:83;.repo_studios/docs/automation/seed_standards_prompts.md:65;.repo_studios/docs/automation/validate_import_boundaries.md:61;.repo_studios/docs/automation/validate_markdown_anchors.md:63;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:71;.repo_studios/docs/directory_layout.md:25
agent-block-machine-readable	10	10	.repo_studios/docs/playbooks/playbook-agent-operations.md,.repo_studios/docs/playbooks/playbook-memory-refresh.md,.repo_studios/docs/playbooks/playbook-migration.md,.repo_studios/docs/playbooks/playbook-prompt-library.md,.repo_studios/docs/standards/global/std-global-html-coding.md,.repo_studios/docs/standards/global/std-global-markdown-authoring.md,.repo_studios/docs/standards/global/std-global-monkey-patching.md,.repo_studios/docs/standards/global/std-global-prompt-engineering.md,.repo_studios/docs/standards/global/std-global-python-engineering.md,.repo_studios/docs/standards/project/std-project-operating-standard.md	.repo_studios/docs/playbooks/playbook-agent-operations.md:96;.repo_studios/docs/playbooks/playbook-memory-refresh.md:113;.repo_studios/docs/playbooks/playbook-migration.md:76;.repo_studios/docs/playbooks/playbook-prompt-library.md:74;.repo_studios/docs/standards/global/std-global-html-coding.md:126;.repo_studios/docs/standards/global/std-global-markdown-authoring.md:152;.repo_studios/docs/standards/global/std-global-monkey-patching.md:178;.repo_studios/docs/standards/global/std-global-prompt-engineering.md:143;.repo_studios/docs/standards/global/std-global-python-engineering.md:280;.repo_studios/docs/standards/project/std-project-operating-standard.md:132
diagnostics	9	9	.repo_studios/docs/automation/collect_faulthandler_reports.md,.repo_studios/docs/automation/collect_test_log_reports.md,.repo_studios/docs/automation/run_pytest_log_capture.md,.repo_studios/docs/automation/run_standards_index_cli.md,.repo_studios/docs/automation/scan_code_placeholders.md,.repo_studios/docs/automation/scan_monkey_patches.md,.repo_studios/docs/automation/seed_standards_prompts.md,.repo_studios/docs/automation/validate_import_boundaries.md,.repo_studios/docs/automation/validate_metrics_anchor_stubs.md	.repo_studios/docs/automation/collect_faulthandler_reports.md:61;.repo_studios/docs/automation/collect_test_log_reports.md:42;.repo_studios/docs/automation/run_pytest_log_capture.md:73;.repo_studios/docs/automation/run_standards_index_cli.md:88;.repo_studios/docs/automation/scan_code_placeholders.md:57;.repo_studios/docs/automation/scan_monkey_patches.md:69;.repo_studios/docs/automation/seed_standards_prompts.md:52;.repo_studios/docs/automation/validate_import_boundaries.md:48;.repo_studios/docs/automation/validate_metrics_anchor_stubs.md:56
overview	8	8	.repo_studios/docs/automation/configure_faulthandler_runtime.md,.repo_studios/docs/automation/dump_faulthandler_snapshot.md,.repo_studios/docs/automation/run_fault_pipeline.md,.repo_studios/docs/automation/run_pytest_log_capture.md,.repo_studios/docs/automation/run_standards_index_cli.md,.repo_studios/docs/automation/traceability/producer_consumer_traceability_audit.md,.repo_studios/docs/automation/verify_docs_integrity.md,automation/orchestrator_migration_announcement.md	.repo_studios/docs/automation/configure_faulthandler_runtime.md:3;.repo_studios/docs/automation/dump_faulthandler_snapshot.md:3;.repo_studios/docs/automation/run_fault_pipeline.md:3;.repo_studios/docs/automation/run_pytest_log_capture.md:5;.repo_studios/docs/automation/run_standards_index_cli.md:5;.repo_studios/docs/automation/traceability/producer_consumer_traceability_audit.md:6;.repo_studios/docs/automation/verify_docs_integrity.md:3;automation/orchestrator_migration_announcement.md:5
status-semantics	6	6	.repo_studios/docs/automation/diff_standards_index.md,.repo_studios/docs/automation/generate_dependency_hygiene_report.md,.repo_studios/docs/automation/generate_lizard_report.md,.repo_studios/docs/automation/generate_standards_index.md,.repo_studios/docs/automation/generate_test_coverage_inventory.md,.repo_studios/docs/automation/validate_markdown_anchors.md	.repo_studios/docs/automation/diff_standards_index.md:50;.repo_studios/docs/automation/generate_dependency_hygiene_report.md:51;.repo_studios/docs/automation/generate_lizard_report.md:63;.repo_studios/docs/automation/generate_standards_index.md:66;.repo_studios/docs/automation/generate_test_coverage_inventory.md:51;.repo_studios/docs/automation/validate_markdown_anchors.md:45
objective	5	5	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md,.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md,.repo_studios/docs/automation/traceability/generate_code_doc_churn_report_plan.md,.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md,.repo_studios/docs/automation/traceability/run_standards_index_cli_modernization_plan.md	.repo_studios/docs/automation/traceability/analyze_monkey_patch_trends_modernization_plan.md:5;.repo_studios/docs/automation/traceability/generate_churn_complexity_heatmap_modernization_plan.md:3;.repo_studios/docs/automation/traceability/generate_code_doc_churn_report_plan.md:3;.repo_studios/docs/automation/traceability/run_batch_cleanup_modernization_plan.md:10;.repo_studios/docs/automation/traceability/run_standards_index_cli_modernization_plan.md:9
