path,h1_count,h2_count,heading_count,unique_slugs,duplicate_slugs,cross_file_duplicate_slugs,allowlisted_slugs
.repo_studios/docs/Repo_Studios_MOU_Strategic_Architecture.md,1,13,14,14,,,
.repo_studios/docs/automation/aggregate_docs_health_signals.md,1,8,9,9,,purpose,
.repo_studios/docs/automation/analyze_test_hardening.md,1,6,7,7,,invocation;operational-notes;outputs;purpose;testing,
.repo_studios/docs/automation/ci_metrics_checks.md,1,4,5,5,,goals;next-actions,
.repo_studios/docs/automation/classify_monkey_patches.md,1,5,6,6,,invocation;operational-notes;outputs;purpose;testing,
.repo_studios/docs/automation/collect_faulthandler_reports.md,1,6,7,7,,diagnostics;invocation;operational-notes;outputs;purpose;testing,
.repo_studios/docs/automation/collect_test_log_reports.md,1,6,7,7,,diagnostics;invocation;operational-notes;outputs;purpose;testing,
.repo_studios/docs/automation/configure_faulthandler_runtime.md,1,5,6,6,,environment-flags;legacy-compatibility;responsibilities;testing,overview
.repo_studios/docs/automation/diff_standards_index.md,1,6,7,7,,invocation;operational-notes;outputs;purpose;status-semantics;testing,
.repo_studios/docs/automation/dump_faulthandler_snapshot.md,1,7,8,8,,environment-flags;legacy-compatibility;responsibilities;testing;usage,overview
.repo_studios/docs/automation/extract_standards_rules.md,1,6,7,7,,integration-notes;invocation;purpose;testing,
.repo_studios/docs/automation/function_analysis_guide.md,1,6,7,7,,future-enhancements,
.repo_studios/docs/automation/function_inventory_integration_plan.md,1,8,9,9,,decisions-captured;outstanding-considerations,
.repo_studios/docs/automation/generate_anchor_health_report.md,1,6,7,7,,inputs;purpose;testing,
.repo_studios/docs/automation/generate_anchor_inventory.md,1,6,7,7,,cli-reference;data-shape;implementation-summary;notes-for-ai-consumers;output-contract;purpose,
.repo_studios/docs/automation/generate_code_doc_churn_report.md,1,5,6,6,,inputs;outputs;purpose;testing;usage,
.repo_studios/docs/automation/generate_dependency_hygiene_report.md,1,6,7,7,,invocation;operational-notes;outputs;purpose;status-semantics;testing,
.repo_studios/docs/automation/generate_doc_index.md,1,6,7,7,,cli-reference;data-shape;implementation-summary;notes-for-ai-consumers;output-contract;purpose,
.repo_studios/docs/automation/generate_lizard_report.md,1,6,7,7,,invocation;operational-notes;outputs;purpose;status-semantics;testing,
.repo_studios/docs/automation/generate_standards_index.md,1,6,7,7,,invocation;operational-notes;outputs;purpose;status-semantics;testing,
