slug	count	file_count	files
automation-visibility	1	1	standards\project\std-project-operating-standard.md
builtin-constraints	1	1	standards\global\std-global-monkey-patching.md
decisions	1	1	standards\global\std-global-mission-parameters.md
dependency-management	1	1	standards\project\std-project-operating-standard.md
docs-integrity-handbook	1	1	standards\global\std-docs-integrity-handbook.md
error-handling	1	1	standards\global\std-global-python-engineering.md
evaluation-cases	1	1	standards\global\std-global-prompt-engineering.md
front-matter	1	1	standards\global\std-global-markdown-authoring.md
global-chainlit-ui-standard	1	1	standards\global\std-global-chainlit-ui.md
global-html-coding-standard	1	1	standards\global\std-global-html-coding.md
incremental-workflows	1	1	standards\global\std-global-code-cleanup.md
logging	1	1	standards\global\std-global-python-engineering.md
project-python-instructions	1	1	standards\project\std-project-python-instructions.md
repo-studios-documentation-index	1	1	standards\docs_index.md
style-essentials	1	1	standards\global\std-global-markdown-authoring.md
