file	line	category	import_base	intent	is_test	is_module_scope	code
legacy\repo_tests\test_lizard_report.py	13	sys_modules_assignment		module injection/aliasing	false	true	    sys.modules[spec.name] = mod  # type: ignore[index]
legacy\repo_tests\test_lizard_report.py	48	setattr_on_import_or_class		unspecified monkey patch	false	true	    monkeypatch.setattr(subprocess, "run", fake_run)
legacy\repo_tests\test_lizard_report.py	66	setattr_on_import_or_class		unspecified monkey patch	false	true	    monkeypatch.setattr(sys, "argv", argv)
legacy\repo_tests\test_lizard_report.py	97	setattr_on_import_or_class		unspecified monkey patch	false	true	    monkeypatch.setattr(subprocess, "run", fake_run)
legacy\repo_tests\test_lizard_report.py	109	setattr_on_import_or_class		unspecified monkey patch	false	true	    monkeypatch.setattr(sys, "argv", argv)
legacy\repo_tests\test_test_log_health_report_pick_best.py	15	sys_modules_assignment		module injection/aliasing	false	true	    sys.modules[spec.name] = module
legacy\repo_tests\test_typecheck_report.py	15	sys_modules_assignment		module injection/aliasing	false	true	    sys.modules[spec.name] = mod  # type: ignore[index]
legacy\repo_tests\test_typecheck_report.py	48	setattr_on_import_or_class		unspecified monkey patch	false	true	    monkeypatch.setattr(subprocess, "run", fake_run)
legacy\repo_tests\test_typecheck_report_fast_mode.py	13	sys_modules_assignment		module injection/aliasing	false	true	    sys.modules[spec.name] = mod  # make visible during exec
legacy\repo_tests\test_typecheck_report_fast_mode.py	56	setattr_on_import_or_class		unspecified monkey patch	false	true	    monkeypatch.setattr(subprocess, "run", fake_run)
.repo_studios\tests\tests_producers\test_analyze_standards_index_gaps.py	24	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_diff_standards_index.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_extract_standards_rules.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_dependency_hygiene_report.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_import_graph_report.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_lizard_report.py	25	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_lizard_report.py	60	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(mod.subprocess, "run", fake_run)
.repo_studios\tests\tests_producers\test_generate_standards_index.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_typecheck_report.py	21	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_generate_typecheck_report.py	54	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "_run_mypy", runner)
.repo_studios\tests\tests_producers\test_generate_typecheck_report.py	55	setattr_on_import_or_class		unspecified monkey patch	true	true	    monkeypatch.setattr(module, "_get_mypy_version", lambda _repo_root: "mypy 1.11.0")
.repo_studios\tests\tests_producers\test_render_inventory_views.py	21	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_scan_code_placeholders.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_scan_monkey_patches.py	22	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\tests\tests_producers\test_scan_monkey_patches.py	40	global_env_mutation		unspecified monkey patch	true	true	os.environ[\"EXAMPLE_FLAG\"] = \"1\"
.repo_studios\tests\tests_producers\test_validate_inventory.py	16	sys_modules_assignment		module injection/aliasing	true	true	    sys.modules[spec.name] = module
.repo_studios\scripts\producers\generate_dependency_hygiene_report.py	30	attribute_reassignment_on_import	tomllib	override third-party behavior	false	true	    tomllib = None  # type: ignore
.repo_studios\scripts\producers\generate_typecheck_report.py	20	attribute_reassignment_on_import	tomllib	override third-party behavior	false	true	    tomllib = None  # type: ignore[assignment]
.repo_studios\scripts\utilities\configure_faulthandler_runtime.py	95	attribute_reassignment_on_import	fcntl	override third-party behavior	false	true	            _fcntl = None  # type: ignore
