file,line,category,import_base,is_test,is_module_scope,intent,code
conftest.py,50,attribute_reassignment_on_import,faulthandler,False,True,override third-party behavior,    _faulthandler = None  # type: ignore
conftest.py,389,sys_modules_assignment,sys,False,True,module injection/aliasing,"            sys.modules[ALIAS_NAME] = sys.modules.get(""agents"")"
conftest.py,844,attribute_reassignment_on_import,_pytest,False,True,override third-party behavior,    PytestRemovedIn9Warning = None  # type: ignore
tests/api/test_ws_ui_scaffold.py,12,global_env_mutation,os,True,True,unspecified monkey patch,"os.environ[""ENABLE_UI_WS""] = ""1""  # ensure flag set before app import"
tests/api/test_events_ws.py,8,global_env_mutation,os,True,True,unspecified monkey patch,"os.environ[""ENABLE_EVENTS""] = ""1"""
tests/api/test_events_sse.py,15,global_env_mutation,os,True,True,unspecified monkey patch,"os.environ[""ENABLE_EVENTS""] = ""1"""
tests/api/test_events_sse.py,17,global_env_mutation,os,True,True,unspecified monkey patch,"os.environ[""EVENTS_SSE_HEARTBEAT_SEC""] = ""0.2"""
tests/api/test_events_sse.py,18,global_env_mutation,os,True,True,unspecified monkey patch,"os.environ[""DISABLE_API_AUTH""] = ""1"""
tests/api/test_events_sse.py,19,global_env_mutation,os,True,True,unspecified monkey patch,"os.environ[""ENABLE_EVENTS_ONESHOT""] = ""1"""
api/mission_api.py,29,attribute_reassignment_on_import,api,False,True,override third-party behavior,    health_summary = None  # type: ignore
api/deps.py,37,attribute_reassignment_on_import,api_cache_shared,False,True,override third-party behavior,    _METRICS_AUTH_FAIL_TOTAL = 0
api/cache_impl.py,63,attribute_reassignment_on_import,api,False,True,override third-party behavior,    _reg_register = None  # type: ignore[assignment]
api/cache_impl.py,64,attribute_reassignment_on_import,api,False,True,override third-party behavior,    _reg_set_serving = None  # type: ignore[assignment]
api/cache_impl.py,65,attribute_reassignment_on_import,api,False,True,override third-party behavior,    _reg_get_serving_for_app = None  # type: ignore[assignment]
api/cache_impl.py,66,attribute_reassignment_on_import,api,False,True,override third-party behavior,    _reg_iter_stack_for = None  # type: ignore[assignment]
api/cache_impl.py,144,attribute_reassignment_on_import,api,False,True,override third-party behavior,"    _NEGATIVE_PATHS_SHARED = set(filter(None, os.getenv(""CACHE_NEGATIVE_PATHS"", """").split("","")))"
api/cache_impl.py,154,attribute_reassignment_on_import,api,False,True,override third-party behavior,    _global_get_lock = None  # type: ignore[assignment]
api/cache_impl.py,226,attribute_reassignment_on_import,api,False,True,override third-party behavior,    _is_sse_resp = None  # type: ignore[assignment]
api/cache_impl.py,227,attribute_reassignment_on_import,api,False,True,override third-party behavior,    _mark_sse = None  # type: ignore[assignment]
